hidden_size,num_iters,batch_size,learning_rate,reg,train_loss,val_loss,train_acc,val_acc
75,1000,100,0.001,0.1,1.5131373692436698,1.5610124767212612,0.4727755102040817,0.467
75,2000,100,0.001,0.01,1.3760308564491124,1.4816943423236315,0.5185714285714286,0.466
50,2000,100,0.001,0.001,1.3959203917386078,1.4800333497126246,0.5091836734693878,0.462
50,1000,200,0.001,0.25,1.468137247665552,1.5173822122263645,0.4836734693877551,0.462
75,1000,100,0.001,0.25,1.4822134558723972,1.526997027722243,0.481530612244898,0.461
50,1000,200,0.001,0.1,1.4631803638248173,1.5076875756806207,0.4841632653061225,0.46
50,1000,100,0.001,0.001,1.490836615590022,1.5299859999267305,0.4725918367346939,0.45899999999999996
75,1000,200,0.001,0.25,1.4582440918111992,1.508611215505124,0.4851428571428572,0.451
50,1000,100,0.001,0.25,1.5362392484832517,1.573080823546554,0.4529591836734694,0.439
75,2000,100,0.0001,0.01,1.7524424967438381,1.7557477615913282,0.3723265306122449,0.37799999999999995
50,2000,100,0.0001,0.1,1.76629545457647,1.7715533225209683,0.3674693877551021,0.377
75,2000,100,0.0001,0.001,1.7522639276716832,1.7571704442894152,0.37287755102040815,0.376
75,2000,100,0.0001,0.1,1.757361398662262,1.7651068961344578,0.37434693877551023,0.37200000000000005
75,2000,200,0.0001,0.01,1.782459506418235,1.790798180873667,0.3634489795918368,0.37200000000000005
50,2000,200,0.0001,0.1,1.7856147677818306,1.7921377793735296,0.3580204081632653,0.371
50,2000,100,0.0001,0.01,1.7651478351828631,1.7713884336204069,0.3673877551020408,0.369
50,2000,100,0.0001,0.25,1.7750653870282351,1.7835200508639888,0.3616938775510204,0.366
75,2000,100,0.0001,0.25,1.7657035575357451,1.7718438694153045,0.3680408163265306,0.366
50,2000,200,0.0001,0.001,1.7840068230496744,1.792527161587098,0.36097959183673467,0.365
75,2000,200,0.0001,0.001,1.779835163143799,1.7849301643021165,0.3628571428571429,0.365
50,2000,200,0.0001,0.25,1.7888207475263402,1.7982255553257325,0.3574081632653061,0.363
50,2000,100,0.0001,0.001,1.7751299300550538,1.7857789538568505,0.36459183673469386,0.36200000000000004
50,2000,200,0.0001,0.01,1.79000690801555,1.7999833224428334,0.3574897959183673,0.36200000000000004
75,2000,200,0.0001,0.25,1.7847784731652976,1.7944285412075442,0.3603061224489796,0.36
75,2000,200,0.0001,0.1,1.781119336794475,1.7909890364105208,0.3621632653061225,0.354
75,1000,100,0.0001,0.001,1.9200164500897865,1.9220078519717936,0.30136734693877554,0.303
75,1000,100,0.0001,0.01,1.934059955704936,1.9353298403688108,0.2949387755102041,0.29600000000000004
75,1000,100,0.0001,0.25,1.920203533014173,1.9246782310397403,0.2993061224489796,0.295
75,1000,100,0.0001,0.1,1.92883503230902,1.933411126446212,0.3002448979591837,0.294
75,1000,200,0.0001,0.001,1.9408369376373031,1.9422631087070141,0.2854081632653061,0.289
50,1000,100,0.0001,0.001,1.9383789410603087,1.9378165548740616,0.291734693877551,0.28800000000000003
50,1000,200,0.0001,0.1,1.9500292212459156,1.952569849322044,0.2811020408163265,0.28600000000000003
50,1000,100,0.0001,0.1,1.9351461034594184,1.9397495500642503,0.2894285714285714,0.28600000000000003
50,1000,200,0.0001,0.001,1.9544943632403,1.9555786476875048,0.2833469387755102,0.28600000000000003
75,1000,200,0.0001,0.01,1.9323030976162017,1.9357970297405755,0.290734693877551,0.284
75,1000,200,0.0001,0.1,1.939595282613441,1.9432796272818416,0.2904693877551021,0.28300000000000003
