hidden_size,num_iters,batch_size,learning_rate,reg,train_loss,val_loss,train_acc,val_acc
100,3000,300,0.001,0.01,1.1475234477624985,1.3318685102982608,0.6043469387755102,0.539
100,3000,300,0.001,0.0001,1.1344034182918885,1.3404980093448682,0.609734693877551,0.536
100,3000,200,0.001,0.001,1.1530166630330827,1.3436090620695065,0.6024897959183674,0.533
100,3000,200,0.001,0.1,1.1833917052290217,1.3706820943275047,0.5889795918367347,0.525
75,3000,300,0.001,0.0001,1.1793771472304302,1.3709000943185305,0.596204081632653,0.525
75,3000,300,0.001,0.01,1.1764047260833284,1.3613282034071779,0.5945918367346938,0.522
100,3000,200,0.001,0.0001,1.145083914651169,1.3627851779444662,0.603265306122449,0.522
100,2000,300,0.001,0.0001,1.245535807374881,1.3698168403761795,0.5658979591836735,0.521
75,2000,300,0.001,0.001,1.282174308944484,1.393147445346554,0.5546734693877551,0.521
100,2000,300,0.001,0.1,1.266654468697884,1.38480872541529,0.561795918367347,0.519
100,2000,200,0.001,0.01,1.2561286659982833,1.3697152295090274,0.5592244897959183,0.519
75,3000,300,0.001,0.001,1.1775041937127253,1.3823154317376396,0.5916122448979592,0.516
75,2000,300,0.001,0.1,1.2751362290106023,1.38882132371987,0.5573673469387755,0.513
75,3000,200,0.001,0.1,1.213761659156872,1.3815294490786678,0.5807142857142857,0.512
100,2000,200,0.001,0.0001,1.257538571634362,1.3945531533035174,0.5634489795918367,0.512
75,2000,300,0.001,0.0001,1.2701807053947747,1.3843956197577265,0.5567142857142857,0.511
100,2000,300,0.001,0.01,1.2404624991498059,1.3526468548253439,0.5696530612244898,0.511
100,3000,300,0.001,0.001,1.1466972826160664,1.3646558943930145,0.6072244897959184,0.511
75,2000,200,0.001,0.0001,1.2870170051865322,1.3894521104420858,0.5502040816326531,0.51
75,3000,300,0.001,0.1,1.2071267098150895,1.357330628788217,0.5825918367346938,0.509
75,3000,200,0.001,0.0001,1.1906532177149094,1.3622838488420732,0.5868775510204082,0.508
100,2000,300,0.001,0.001,1.2480494786307135,1.3840192624634928,0.5668775510204082,0.508
100,3000,300,0.001,0.1,1.1735374268993666,1.3708045004690215,0.6001836734693877,0.507
100,2000,200,0.001,0.1,1.2811481851624231,1.388625626895975,0.556469387755102,0.507
75,3000,200,0.001,0.001,1.2118780502814523,1.4212914475269258,0.577469387755102,0.505
75,2000,200,0.001,0.01,1.2781624730269099,1.4002405058908642,0.5588163265306122,0.504
100,3000,200,0.001,0.01,1.1648678249185178,1.3796263952742536,0.5968775510204082,0.503
75,3000,200,0.001,0.01,1.2122119698168499,1.4232940118945394,0.5764897959183674,0.5
75,2000,300,0.001,0.01,1.2610718610616545,1.367914438872554,0.5618367346938775,0.499
75,2000,200,0.001,0.001,1.2920414969121707,1.4212032832395975,0.5463061224489796,0.495
75,2000,200,0.001,0.1,1.3172375863855033,1.4213738833684764,0.538795918367347,0.495
100,2000,200,0.001,0.001,1.2655143010887544,1.4209956216585338,0.5596938775510204,0.488
